name,feature_types,detail_text,see_also,source_page
"ACOSTA, DIPUTADA EMAR",canteros centrales,"Ley Nº 1.124-2003, BO Nº 1.818. Emar Acosta (1900-1965), abogada; gracias a la reforma constitucional de 1927, realizada en la provincia de San Juan por iniciativa del gobierno de Aldo Cantoni, que establece el derecho de la mujer a elegir y ser elegida, es la primera mujer diputada de la provincia y de la República Argentina, durante los períodos 1934-1938 y 1942-1943. Como legisladora se dedica a la reforma de códigos provinciales en favor de los derechos de la mujer. Funda la Asociación de Cultura Cívica de la Mujer Sanjuanina y auspicia la creación de los Patronatos de Menores y de Presos y Excarcelados.",,33
AEROLÍNEAS ARGENTINAS,calle,"Ordenanza N° 26.700-1972, BM N° 14.311. Aerolíneas Argentinas: empresa argentina de navegación aérea creada por Decreto del 3 de mayo de 1949 a raíz de la fusión de las empresas Aeroposta Argentina, Sociedad Mixta Flota Aéreo Mercante (FAMA), Sociedad Mixta Zonas Oeste y Norte (ZONDA) y Sociedad Mixta de Aviación Territorial Fluvial Argentina (ALFA).",,33
ÁFRICA,cantero central,"Ordenanza N° 42.815-1988, BM N° 18.593. África: uno de los cinco continentes en que se halla dividida la tierra.",,34
"AGÜERO, JOSÉ EUSEBIO",plazoleta,"Decreto-Ordenanza N° 11.237-1963, BM N° 12.155. José Eusebio Agüero (1791-1864) sacerdote; prefecto del Colegio de la Unión del Sud en 1818; diputado por Córdoba en el Congreso de 1826; profesor de Derecho Público Eclesiástico de la Universidad de Buenos Aires; rector del Colegio Nacional de Buenos Aires en 1863.",,35
"AGUSTINI, DELMIRA",cantero central,"Ley N° 644-2001, BO N° 1.303. Delmira Agustini (1886-1914) poetisa uruguaya; autora de El libro blanco (1907), Cantos de la mañana (1910) y Cálices vacíos (1913).",,35
"ALBERTE, MAYOR BERNARDO",cantero central,"Ley Nº 1.114-2003, BO Nº 1.818. Bernardo Alberte (1918-1976), militar; delegado del general Juan Domingo Perón entre 1967 y 1968; es asesinado el 24 de marzo de 1976.",,37
"ALMADA, DIPUTADO NACIONAL JORGE MARIANO",cantero central,"Ordenanza N° 44.740-1990, BM N° 18.962. Jorge Mariano Almada (1924-1967), político; diputado nacional entre 1963 y 1965; miembro del Partido Demócrata y secretario de la Federación Nacional de Partidos del Centro.",,38
"ALMANDOS ALMONACID, CAPITÁN AVIADOR VICENTE",plazoleta,"Ordenanza N° 38.425-1982, BM N° 16.914. Vicente Almandos Almonacid (1882-1953), aviador; fundador de la aviación comercial argentina; cruza la Cordillera de los Andes el 1° de enero y el 29 de marzo de 1920.",,39
"ALMA QUE CANTA, EL",plazoleta,"Ordenanza N° 44.467-1990, BM N° 18.922. El Alma que Canta: revista fundada en 1916 por Vicente Buchieri dedicada a la música popular; por sus páginas desfilaron las obras de famosos poetas y las canciones de numerosos autores de tango, fox trot, milonga, chacarera y otros ritmos.",,39
"AMALFITANI, JOSÉ",plazoleta,"Ordenanza N° 37.383-1982, BM N° 16.702. José Amalfitani (1894-1969), dirigente deportivo; presidente del Club Atlético Vélez Sarsfield durante treinta años.",,42
